timestamp,symbol,signal,price
2026-09-17 21:00:28,BTC/USDT,HOLD,76555.25
2026-09-17 21:00:28,ETH/USDT,HOLD,2448.85
2026-09-17 21:00:28,SOL/USDT,HOLD,100.96
2026-09-17 21:02:35,BTC/USDT,HOLD,76572.0
2026-09-17 21:02:35,ETH/USDT,HOLD,2449.38
2026-09-17 21:02:36,SOL/USDT,HOLD,101.02
2026-09-17 21:09:12,BTC/USDT,HOLD,76632.01
2026-09-17 21:09:12,ETH/USDT,HOLD,2452.64
2026-09-17 21:09:13,SOL/USDT,HOLD,101.21
2026-09-17 21:10:13,BTC/USDT,HOLD,76622.0
2026-09-17 21:10:13,ETH/USDT,HOLD,2452.17
2026-09-17 21:10:14,SOL/USDT,HOLD,101.19
2026-09-17 21:19:30,BTC/USDT,HOLD,76628.01
2026-09-17 21:19:30,ETH/USDT,HOLD,2454.33
2026-09-17 21:19:30,SOL/USDT,HOLD,101.21
2026-09-17 21:20:36,BTC/USDT,HOLD,76646.01
2026-09-17 21:20:37,ETH/USDT,HOLD,2454.13
2026-09-17 21:20:37,SOL/USDT,HOLD,101.21
